player_name,club,league,season,games_played,minutes_played,goals,xg,assists,xa,shots,key_passes,yellow_cards,red_cards,non_penalty_goals,npxg,xg_per90,xa_per90,npxg_per90
Bradley Locko,Brest,ligue_1,2024,2,96,0,0.0327756740152835,0,0.0,1,0,1,0,0,0.0327756740152835,0.031,0.0,0.031
Anton Shamonin,FC Rostov,rfpl,2024,6,96,0,0.2912196293473243,0,0.0,3,0,2,0,0,0.2912196293473243,0.273,0.0,0.273
Federico Chiesa,Liverpool,epl,2024,6,95,0,0.6147317513823509,0,0.2075449079275131,5,2,0,0,0,0.6147317513823509,0.582,0.197,0.582
Simone Pafundi,Udinese,serie_a,2024,9,94,0,0.0618065930902957,0,0.6294282283633947,2,3,0,0,0,0.0618065930902957,0.059,0.603,0.059
Jahmai Simpson-Pusey,Manchester City,epl,2024,2,94,0,0.0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
Daley Sinkgraven,Las Palmas,la_liga,2024,2,94,0,0.0,0,0.0142585979774594,0,1,0,0,0,0.0,0.0,0.014,0.0
Ilya Sagygov,Khimki,rfpl,2024,14,93,0,0.0164110567420721,1,0.4354108944535255,1,3,1,0,0,0.0164110567420721,0.016,0.421,0.016
Tiago Gabriel,Lecce,serie_a,2024,2,92,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sergio Viera,Las Palmas,la_liga,2024,2,92,0,0.0180441178381443,0,0.0,1,0,1,0,0,0.0180441178381443,0.018,0.0,0.018
Abdoulaye Keita,Getafe,la_liga,2024,3,92,0,0.0552290640771389,0,0.0,2,0,0,0,0,0.0552290640771389,0.054,0.0,0.054
Saïmon Bouabré,Monaco,ligue_1,2024,3,92,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Daniel Oyegoke,Verona,serie_a,2024,5,91,0,0.013305271975696,0,0.0,1,0,1,0,0,0.013305271975696,0.013,0.0,0.013
Ben Voll,St. Pauli,bundesliga,2024,2,91,0,0.0,0,0.2172373384237289,0,1,1,0,0,0.0,0.0,0.215,0.0
Brandon Austin,Tottenham,epl,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Daniele Padelli,Udinese,serie_a,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mikhail Oparin,FK Akhmat,rfpl,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jacopo Seghetti,Empoli,serie_a,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Chadi Riad,Crystal Palace,epl,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Arnau Rafús,Real Valladolid,la_liga,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Arnau Tenas,Paris Saint Germain,ligue_1,2024,1,90,0,0.0,1,0.1297594010829925,0,2,0,0,0,0.0,0.0,0.13,0.0
Szymon Zurkowski,Empoli,serie_a,2024,5,90,0,0.1167134344577789,0,0.0,2,0,0,0,0,0.1167134344577789,0.117,0.0,0.117
Remy Descamps,Lyon,ligue_1,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Aitor Fernández,Osasuna,la_liga,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Francisco González,Real Madrid,la_liga,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Alberto Paleari,Torino,serie_a,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Rizvan Utsiev,FK Akhmat,rfpl,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Leandro Chichizola,Parma Calcio 1913,serie_a,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Roman Dixon,Everton,epl,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Beres Owusu,Saint-Etienne,ligue_1,2024,1,90,0,0.0,0,0.0496347174048423,0,1,0,0,0,0.0,0.0,0.05,0.0
Fedor Chalov,CSKA Moscow,rfpl,2024,2,90,0,0.0547082610428333,0,0.1680828630924224,1,2,0,0,0,0.0547082610428333,0.055,0.168,0.055
Melvin Zinga,Angers,ligue_1,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Maximiliano Caufriez,Valencia,la_liga,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sergio Arribas,Real Betis,la_liga,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sven Ulreich,Bayern Munich,bundesliga,2024,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
Aleksey Koltakov,FC Rostov,rfpl,2024,1,90,0,0.0,0,0.0193520169705152,0,1,1,0,0,0.0,0.0,0.019,0.0
Paris Maghoma,Brentford,epl,2024,8,89,0,0.0355504304170608,0,0.1064981892704963,1,1,0,0,0,0.0355504304170608,0.036,0.108,0.036
Ismael Konaté,Empoli,serie_a,2024,12,87,0,0.4259603722020983,1,0.0326822707429528,3,2,0,0,0,0.4259603722020983,0.441,0.034,0.441
Filippo Melegoni,Genoa,serie_a,2024,3,87,0,0.0368894226849079,1,0.3455231189727783,1,1,0,0,0,0.0368894226849079,0.038,0.357,0.038
Benjamin Bourigeaud,Rennes,ligue_1,2024,1,85,1,0.18843674659729,0,0.0,2,0,0,0,1,0.18843674659729,0.2,0.0,0.2
Scott Banks,St. Pauli,bundesliga,2024,12,85,0,0.4491133857518434,0,0.0734525173902511,4,1,1,0,0,0.4491133857518434,0.476,0.078,0.476
Artem Shumanskiy,CSKA Moscow,rfpl,2024,5,84,1,0.4710782319307327,0,0.0,4,0,1,0,1,0.4710782319307327,0.505,0.0,0.505
Enzo Ebosse,Udinese,serie_a,2024,2,83,0,0.0,0,0.0514530539512634,0,1,1,0,0,0.0,0.0,0.056,0.0
Justin Diehl,VfB Stuttgart,bundesliga,2024,6,83,1,0.8649402894079685,0,0.119648702442646,7,1,0,0,1,0.8649402894079685,0.938,0.13,0.938
Umarali Rahmonaliyev,Rubin Kazan,rfpl,2024,2,82,0,0.1011074110865593,0,0.0,1,0,0,0,0,0.1011074110865593,0.111,0.0,0.111
Arne Engels,Augsburg,bundesliga,2024,1,82,0,0.6035945415496826,0,0.0,3,0,1,0,0,0.6035945415496826,0.662,0.0,0.662
Harrison Reed,Fulham,epl,2024,12,81,0,0.1439509261399507,0,0.0789679586887359,3,1,2,0,0,0.1439509261399507,0.16,0.088,0.16
