team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
Australia,Nishan Velupillay,Forward,25,7,3,Melbourne Victory,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0467,0.0,0.085
Iran,Rouzbeh Cheshmi,Midfielder,32,40,3,Esteghlal,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.2667,0.0,0.0843
United States,Miles Robinson,Defender,29,40,3,FC Cincinnati,0.0,0.0,0.04,0.0,False,0.0,0.0267,0.2667,0.0,0.084
Saudi Arabia,Sultan Mandash,Forward,31,6,2,Al-Hilal,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.04,0.0,0.084
Iraq,Ali Yousif,Forward,30,6,1,Al-Talaba,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.04,0.0,0.084
Saudi Arabia,Khalid Al-Ghannam,Forward,25,6,0,Al-Ettifaq,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.04,0.0,0.084
Ghana,Derrick Luckassen,Defender,30,1,0,Pafos,0.0,0.0,0.0735,1.2,True,0.0,0.049,0.0067,0.1487,0.0837
Croatia,Duje Ćaleta-Car,Defender,29,38,1,Real Sociedad,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2533,0.0,0.0833
Egypt,Ahmed Fatouh,Defender,28,38,1,Zamalek,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2533,0.0,0.0833
Japan,Shōgo Taniguchi,Defender,34,38,1,Sint-Truiden,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2533,0.0,0.0833
Ghana,Prince Kwabena Adu,Forward,22,5,0,Viktoria Plzeň,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0333,0.0,0.083
Saudi Arabia,Abdullah Al-Khaibari,Midfielder,29,39,0,Al-Nassr,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.26,0.0,0.083
Paraguay,Isidro Pitta,Forward,26,5,0,Red Bull Bragantino,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0333,0.0,0.083
Tunisia,Rayan Elloumi,Forward,18,4,0,Vancouver Whitecaps FC,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0267,0.0,0.082
Czech Republic,Lukáš Provod,Midfielder,29,38,3,Slavia Prague,0.0,3.0,0.155,0.0,True,0.0,0.1033,0.2533,0.0,0.0817
Japan,Ao Tanaka,Midfielder,27,38,8,Leeds United,0.0,0.7,0.155,0.0,True,0.0,0.1033,0.2533,0.0,0.0817
Sweden,Besfort Zeneli,Midfielder,23,8,0,Union Saint-Gilloise,0.0,0.0,0.353,0.0,False,0.0,0.2353,0.0533,0.0,0.0812
DR Congo,Dylan Batubinsika,Defender,30,14,1,AEL,0.0,0.0,0.031,0.7,False,0.0,0.0207,0.0933,0.1001,0.0811
Ecuador,Jeremy Arévalo,Forward,21,3,0,VfB Stuttgart,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.02,0.0,0.081
Jordan,Ali Azaizeh,Forward,22,3,0,Al-Shabab,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.02,0.0,0.081
Bosnia and Herzegovina,Jovo Lukić,Forward,27,3,0,Universitatea Cluj,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.02,0.0,0.081
Qatar,Tahsin Jamshid,Forward,19,3,0,Al-Duhail,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.02,0.0,0.081
Colombia,Richard Ríos,Midfielder,26,31,2,Benfica,0.0,0.0,0.198,0.0,False,0.0,0.132,0.2067,0.0,0.0809
Colombia,Jhon Arias,Midfielder,28,37,4,Palmeiras,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.2467,0.0,0.0803
Uzbekistan,Jamshid Iskanderov,Midfielder,32,37,4,Neftchi Fergana,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.2467,0.0,0.0803
